[[-0.41250000000000003, 0.603, 0.3675], [-0.010652644360316953, 0.0, -0.019174759848570515], [-0.0157470703125, -0.0614013671875, 0.9854736328125]]
[[-0.417, 0.6075, 0.369], [0.014913702104443736, 0.0, -0.019174759848570515], [-0.0123291015625, -0.0574951171875, 1.0047607421875]]
[[-0.417, 0.6075, 0.369], [0.0, 0.0, -0.019174759848570515], [-0.0111083984375, -0.04443359375, 1.0299072265625]]
[[-0.42, 0.6075, 0.3675], [-0.010652644360316953, 0.0021305288720633907, -0.019174759848570515], [-0.014892578125, -0.056396484375, 1.0047607421875]]
[[-0.42, 0.6075, 0.3675], [0.010652644360316953, 0.0, -0.019174759848570515], [-0.0147705078125, -0.065673828125, 0.9952392578125]]
[[-0.4215, 0.603, 0.3645], [0.010652644360316953, -0.0021305288720633907, -0.019174759848570515], [-0.011962890625, -0.0523681640625, 1.0260009765625]]
[[-0.4215, 0.603, 0.3645], [-0.008522115488253563, 0.0021305288720633907, -0.019174759848570515], [-0.0146484375, -0.0523681640625, 1.022705078125]]
[[-0.40950000000000003, 0.603, 0.366], [-0.004261057744126781, 0.0, -0.017044230976507126], [-0.0162353515625, -0.059326171875, 0.996826171875]]
[[-0.40950000000000003, 0.603, 0.366], [0.008522115488253563, 0.0, -0.019174759848570515], [-0.0130615234375, -0.0584716796875, 1.003173828125]]
[[-0.426, 0.612, 0.366], [0.0, 0.0, -0.017044230976507126], [-0.0111083984375, -0.05078125, 1.0166015625]]
[[-0.426, 0.612, 0.366], [0.0021305288720633907, 0.0, -0.017044230976507126], [-0.0146484375, -0.06103515625, 0.997314453125]]
[[-0.4305, 0.612, 0.369], [0.006391586616190172, 0.0, -0.019174759848570515], [-0.0147705078125, -0.057373046875, 1.008544921875]]
[[-0.4305, 0.612, 0.369], [0.0021305288720633907, 0.0, -0.019174759848570515], [-0.0147705078125, -0.0521240234375, 1.0194091796875]]
[[-0.4185, 0.6045, 0.372], [-0.0021305288720633907, 0.0021305288720633907, -0.019174759848570515], [-0.0157470703125, -0.0546875, 1.007568359375]]
[[-0.4185, 0.6045, 0.372], [0.006391586616190172, 0.0, -0.017044230976507126], [-0.0157470703125, -0.0572509765625, 1.0048828125]]
[[-0.4185, 0.6075, 0.363], [0.004261057744126781, 0.0, -0.019174759848570515], [-0.0135498046875, -0.0521240234375, 1.0164794921875]]
[[-0.4185, 0.6075, 0.363], [-0.004261057744126781, 0.0021305288720633907, -0.019174759848570515], [-0.0130615234375, -0.0557861328125, 1.0115966796875]]
[[-0.429, 0.624, 0.3765], [0.004261057744126781, 0.0, -0.019174759848570515], [-0.013671875, -0.0618896484375, 1.00439453125]]
